2.205: [GC 28965K->18607K(4020224K), 0.0020073 secs]
2.207: [Full GC 18607K->8150K(4020224K), 0.0222918 secs]
2.230: [GC 29132K->8246K(4020224K), 0.0005076 secs]
2.230: [Full GC 8246K->8182K(4020224K), 0.0140934 secs]
2.248: [GC 29164K->18567K(4020224K), 0.0021769 secs]
2.250: [Full GC 18567K->8151K(4020224K), 0.0132900 secs]
2.264: [GC 29133K->8215K(4020224K), 0.0004505 secs]
2.265: [Full GC 8215K->8189K(4020224K), 0.0258064 secs]
2.296: [GC 29171K->18643K(4020224K), 0.0018988 secs]
2.297: [Full GC 18643K->8243K(4020224K), 0.0236560 secs]
2.323: [GC 29225K->8403K(4020224K), 0.0004626 secs]
2.323: [Full GC 8403K->8307K(4020224K), 0.0199580 secs]
2.347: [GC 29289K->18716K(4020224K), 0.0016366 secs]
2.349: [Full GC 18716K->8187K(4020224K), 0.0141183 secs]
2.364: [GC 29169K->8411K(4020224K), 0.0005685 secs]
2.365: [Full GC 8411K->8356K(4020224K), 0.0232667 secs]
2.393: [GC 29337K->18809K(4020224K), 0.0017786 secs]
2.395: [Full GC 18809K->8261K(4020224K), 0.0210364 secs]
2.417: [GC 29243K->8389K(4020224K), 0.0005384 secs]
2.418: [Full GC 8389K->8343K(4020224K), 0.0156064 secs]
2.438: [GC 29325K->18765K(4020224K), 0.0114946 secs]
2.449: [Full GC 18765K->8269K(4020224K), 0.0139347 secs]
2.464: [GC 29251K->8429K(4020224K), 0.0005160 secs]
2.465: [Full GC 8429K->8343K(4020224K), 0.0153203 secs]
2.484: [GC 29325K->18797K(4020224K), 0.0097928 secs]
2.494: [Full GC 18797K->8276K(4020224K), 0.0145051 secs]
2.510: [GC 29258K->8436K(4020224K), 0.0004909 secs]
2.510: [Full GC 8436K->8349K(4020224K), 0.0150565 secs]
2.530: [GC 29330K->18770K(4020224K), 0.0034003 secs]
2.533: [Full GC 18770K->8279K(4020224K), 0.0154247 secs]
2.550: [GC 29261K->8439K(4020224K), 0.0004955 secs]
2.550: [Full GC 8439K->8365K(4020224K), 0.0164045 secs]
2.571: [GC 29347K->18819K(4020224K), 0.0016313 secs]
2.572: [Full GC 18819K->8286K(4020224K), 0.0152103 secs]
2.589: [GC 29268K->8478K(4020224K), 0.0005238 secs]
2.589: [Full GC 8478K->8372K(4020224K), 0.0155104 secs]
2.609: [GC 29354K->18793K(4020224K), 0.0112815 secs]
2.620: [Full GC 18793K->8291K(4020224K), 0.0143137 secs]
2.636: [GC 29273K->8483K(4020224K), 0.0004791 secs]
2.636: [Full GC 8483K->8381K(4020224K), 0.0154722 secs]
2.656: [GC 29362K->18834K(4020224K), 0.0016397 secs]
2.657: [Full GC 18834K->8302K(4020224K), 0.0119675 secs]
2.671: [GC 29284K->8462K(4020224K), 0.0104803 secs]
2.681: [Full GC 8462K->8406K(4020224K), 0.0117382 secs]
2.698: [GC 29388K->18835K(4020224K), 0.0018749 secs]
2.700: [Full GC 18835K->8287K(4020224K), 0.0121141 secs]
2.716: [GC 29269K->8703K(4020224K), 0.0041435 secs]
2.720: [Full GC 8703K->8685K(4020224K), 0.0183276 secs]
2.752: [GC 29667K->19235K(4020224K), 0.0034743 secs]
2.756: [Full GC 19235K->8379K(4020224K), 0.0258636 secs]
2.783: [GC 29361K->8507K(4020224K), 0.0005347 secs]
2.783: [Full GC 8507K->8452K(4020224K), 0.0114247 secs]
2.799: [GC 29434K->18906K(4020224K), 0.0016335 secs]
2.801: [Full GC 18906K->8382K(4020224K), 0.0122465 secs]
2.814: [GC 29364K->8542K(4020224K), 0.0004881 secs]
2.815: [Full GC 8542K->8455K(4020224K), 0.0109587 secs]
2.831: [GC 29437K->18876K(4020224K), 0.0116164 secs]
2.842: [Full GC 18876K->8386K(4020224K), 0.0129007 secs]
2.856: [GC 29368K->8546K(4020224K), 0.0004980 secs]
2.857: [Full GC 8546K->8477K(4020224K), 0.0121371 secs]
2.873: [GC 29459K->18898K(4020224K), 0.0117081 secs]
2.885: [Full GC 18898K->8392K(4020224K), 0.0128647 secs]
2.899: [GC 29374K->8552K(4020224K), 0.0005182 secs]
2.900: [Full GC 8552K->8470K(4020224K), 0.0125108 secs]
2.917: [GC 29451K->18891K(4020224K), 0.0115810 secs]
2.928: [Full GC 18891K->8395K(4020224K), 0.0225130 secs]
2.952: [GC 29377K->8555K(4020224K), 0.0004971 secs]
2.952: [Full GC 8555K->8472K(4020224K), 0.0210562 secs]
2.978: [GC 29454K->18893K(4020224K), 0.0020231 secs]
2.980: [Full GC 18893K->8402K(4020224K), 0.0202942 secs]
3.002: [GC 29383K->8562K(4020224K), 0.0005145 secs]
3.002: [Full GC 8562K->8474K(4020224K), 0.0111840 secs]
3.018: [GC 29456K->18896K(4020224K), 0.0019892 secs]
3.020: [Full GC 18896K->8405K(4020224K), 0.0128498 secs]
3.034: [GC 29387K->8565K(4020224K), 0.0005114 secs]
3.035: [Full GC 8565K->8497K(4020224K), 0.0125879 secs]
3.052: [GC 29478K->18950K(4020224K), 0.0047216 secs]
3.056: [Full GC 18950K->8410K(4020224K), 0.0112486 secs]
3.069: [GC 29392K->8570K(4020224K), 0.0017364 secs]
3.071: [Full GC 8570K->8527K(4020224K), 0.0116062 secs]
3.086: [GC 29508K->18980K(4020224K), 0.0015500 secs]
3.088: [Full GC 18980K->8423K(4020224K), 0.0111168 secs]
3.100: [GC 29405K->8583K(4020224K), 0.0005086 secs]
3.101: [Full GC 8583K->8540K(4020224K), 0.0194584 secs]
3.125: [GC 29521K->18993K(4020224K), 0.0030291 secs]
3.128: [Full GC 18993K->8436K(4020224K), 0.0124288 secs]
3.141: [GC 29418K->8596K(4020224K), 0.0101016 secs]
3.151: [Full GC 8596K->8508K(4020224K), 0.0131710 secs]
3.168: [GC 50471K->18929K(4020224K), 0.0018367 secs]
3.170: [Full GC 18929K->8439K(4020224K), 0.0132875 secs]
3.184: [GC 29421K->8535K(4020224K), 0.0107176 secs]
3.195: [Full GC 8535K->8510K(4020224K), 0.0126569 secs]
3.212: [GC 29492K->18964K(4020224K), 0.0018448 secs]
3.214: [Full GC 18964K->8442K(4020224K), 0.0123738 secs]
3.227: [GC 29424K->8602K(4020224K), 0.0005167 secs]
3.228: [Full GC 8602K->8539K(4020224K), 0.0114788 secs]
3.244: [GC 29521K->18907K(4020224K), 0.0017739 secs]
3.246: [Full GC 18907K->8385K(4020224K), 0.0163001 secs]
3.263: [GC 29367K->8481K(4020224K), 0.0004781 secs]
3.264: [Full GC 8481K->8419K(4020224K), 0.0115459 secs]
3.279: [GC 29401K->18787K(4020224K), 0.0017339 secs]
3.281: [Full GC 18787K->8394K(4020224K), 0.0124987 secs]
3.294: [GC 29376K->8458K(4020224K), 0.0004753 secs]
3.295: [Full GC 8458K->8436K(4020224K), 0.0128532 secs]
3.311: [GC 29418K->18804K(4020224K), 0.0016174 secs]
3.313: [Full GC 18804K->8391K(4020224K), 0.0224443 secs]
3.336: [GC 29373K->8487K(4020224K), 0.0012213 secs]
3.337: [Full GC 8487K->8446K(4020224K), 0.0126656 secs]
3.354: [GC 29427K->18846K(4020224K), 0.0015114 secs]
3.355: [Full GC 18846K->8400K(4020224K), 0.0112113 secs]
3.367: [GC 29382K->8464K(4020224K), 0.0101500 secs]
3.377: [Full GC 8464K->8435K(4020224K), 0.0127466 secs]
3.394: [GC 29417K->18803K(4020224K), 0.0015220 secs]
3.396: [Full GC 18803K->8407K(4020224K), 0.0140418 secs]
3.410: [GC 29389K->8471K(4020224K), 0.0004623 secs]
3.411: [Full GC 8471K->8442K(4020224K), 0.0163598 secs]
3.431: [GC 29424K->18810K(4020224K), 0.0016161 secs]
3.433: [Full GC 18810K->8428K(4020224K), 0.0119488 secs]
3.445: [GC 29410K->8524K(4020224K), 0.0012831 secs]
3.447: [Full GC 8524K->8474K(4020224K), 0.0118438 secs]
3.462: [GC 29456K->18842K(4020224K), 0.0015437 secs]
3.464: [Full GC 18842K->8423K(4020224K), 0.0113834 secs]
3.476: [GC 29405K->8551K(4020224K), 0.0005570 secs]
3.476: [Full GC 8551K->8486K(4020224K), 0.0119696 secs]
3.492: [GC 29468K->18881K(4020224K), 0.0015444 secs]
3.494: [Full GC 18881K->8429K(4020224K), 0.0115095 secs]
